crash_date,zip_code,latitude,longitude
2020-12-23,11427,40.726532,-73.7506
2020-12-11,10466,40.898026,-73.85323
2020-12-22,NA,40.761093,-73.98327
2020-12-18,10307,40.516956,-74.23369
2020-12-22,10474,40.813072,-73.88996
2020-12-16,10459,40.821323,-73.90002
2020-12-10,10002,40.718662,-73.97942
2020-12-30,NA,40.778614,-73.83887
2020-12-12,NA,40.71702,-73.830505
2020-12-25,10035,40.799007,-73.933235
2020-12-28,11223,40.597286,-73.97037
2020-12-29,11210,40.628956,-73.949265
2020-12-27,NA,40.74357,-73.83772
2020-12-19,10012,40.726166,-73.99837
2020-12-28,10468,40.87642,-73.88696
2020-12-23,10455,40.816418,-73.91898
2020-12-30,NA,40.608433,-74.15544
2020-12-14,NA,40.606247,-73.97645
2020-12-10,10457,40.840878,-73.90476
2020-12-22,10036,40.756496,-73.988075
2020-12-19,11434,40.663067,-73.76842
2020-12-25,11434,40.683556,-73.7619
2020-12-13,10033,40.848392,-73.937675
2020-12-21,10065,40.761856,-73.96343
2020-12-12,11215,40.67679,-73.98142
2020-12-08,11234,40.61878,-73.92951
2020-12-28,11205,40.69253,-73.95985
2020-12-17,11420,40.67801,-73.8161
2020-12-10,11221,40.69614,-73.92726
2020-12-17,11369,40.75968,-73.864075
2020-12-19,NA,40.676487,-73.82133
2020-12-17,10039,40.821636,-73.93909
2020-12-13,NA,40.668797,-73.93113
2020-12-31,NA,40.672062,-73.925255
2020-12-09,10459,40.82753,-73.88637
2020-12-29,NA,40.646152,-73.879875
2020-12-19,10462,40.835518,-73.86112
2020-12-11,11230,40.629543,-73.96608
2020-12-30,11103,40.76398,-73.910515
2020-12-12,11219,40.628845,-73.99855
2020-12-22,10002,40.711693,-73.98066
2020-12-18,NA,40.66658,-73.89253
2020-12-31,10001,40.753918,-73.99964
2020-12-10,11203,40.64934,-73.94264
2020-12-29,10010,40.74026,-73.990524
2020-12-18,NA,40.844486,-73.846245
2020-12-13,11206,40.702244,-73.94357
2020-12-18,11433,40.690556,-73.795006
2020-12-16,11221,40.692356,-73.94282
2020-12-20,NA,40.840836,-73.87258
2020-12-17,11375,40.7244,-73.84981
2020-12-28,NA,40.74217,-73.804436
2020-12-30,10013,40.72368,-74.00365
2020-12-18,11358,40.7555,-73.792725
2020-12-30,10475,40.886444,-73.82634
2020-12-31,11224,40.57684,-73.98288
2020-12-14,10457,40.847027,-73.89807
2020-12-22,11207,40.690407,-73.9036
2020-12-16,NA,40.75855,-73.82964
2020-12-14,11226,40.654957,-73.95974
2020-12-09,NA,40.680664,-73.902626
2020-12-22,NA,40.862602,-73.92028
2020-12-14,NA,40.677624,-73.93308
2020-12-11,NA,40.675632,-73.89878
2020-12-26,11224,40.574894,-73.98662
2020-12-17,NA,40.788795,-73.93755
2020-12-15,10026,40.80146,-73.95438
2020-12-20,11208,40.671284,-73.88228
2020-12-25,10470,40.906662,-73.852425
2020-12-18,11203,40.6625,-73.93558
2020-12-20,11213,40.673225,-73.93003
2020-12-24,11205,40.690693,-73.95728
2020-12-28,10473,40.81107,-73.85866
2020-12-11,11221,40.694862,-73.91447
2020-12-11,11413,40.664898,-73.75509
2020-12-28,NA,40.75548,-73.74173
2020-12-11,10467,40.86795,-73.8705
2020-12-16,11219,40.62881,-74.009346
2020-12-30,10459,40.82607,-73.88917
2020-12-31,11206,40.708626,-73.94513
2020-12-28,11385,40.70703,-73.909325
2020-12-10,10019,40.767815,-73.98951
2020-12-16,11432,40.712406,-73.80254
2020-12-11,11413,40.666405,-73.74538
2020-12-31,11385,40.70107,-73.89116
2020-12-16,11429,40.712128,-73.736404
2020-12-09,NA,40.696198,-73.98869
2020-12-24,NA,40.58464,-73.96017
2020-12-30,10452,40.840286,-73.92147
2020-12-15,NA,40.67944,-73.89714
2020-12-29,11203,40.644333,-73.93832
2020-12-15,10021,40.769077,-73.95102
2020-12-23,NA,40.719368,-73.836006
2020-12-15,10018,40.75864,-74.00374
2020-12-10,10458,40.862953,-73.89066
2020-12-19,NA,40.756096,-73.74655
2020-12-12,11236,40.647224,-73.911766
2020-12-18,11212,40.66297,-73.91684
2020-12-23,11211,40.7118,-73.94224
2020-12-14,11412,40.701946,-73.77314
2020-12-14,11236,40.630913,-73.88624
2020-12-11,11365,40.73945,-73.78449
2020-12-17,NA,40.7321,-73.74701
2020-12-13,NA,40.717014,-73.7994
2020-12-19,10001,40.745625,-73.99084
2020-12-27,10032,40.83349,-73.94158
2020-12-15,11427,40.728584,-73.7446
2020-12-15,10469,40.878586,-73.84395
2020-12-13,11207,40.68132,-73.89274
2020-12-09,10467,40.87891,-73.87377
2020-12-10,NA,40.672688,-73.73544
2020-12-31,11203,40.66116,-73.939865
2020-12-19,NA,40.585056,-73.928894
2020-12-19,10036,40.75484,-73.98412
2020-12-19,10019,40.761242,-73.97946
2020-12-14,NA,40.877033,-73.846375
2020-12-14,NA,40.780464,-73.94404
2020-12-31,10029,40.799152,-73.943344
2020-12-13,11207,40.67745,-73.89884
2020-12-08,NA,40.845024,-73.92632
2020-12-17,NA,40.592422,-73.99508
2020-12-14,NA,40.625916,-74.13452
2020-12-11,NA,40.68719,-73.974625
2020-12-22,10030,40.814247,-73.945244
2020-12-19,10032,40.842957,-73.93468
2020-12-30,10011,40.737957,-73.998245
2020-12-25,10466,40.895203,-73.8564
2020-12-31,10475,40.88254,-73.826965
2020-12-27,10306,40.577946,-74.102325
2020-12-15,11206,40.70729,-73.94659
2020-12-20,NA,40.859444,-73.915985
2020-12-15,11420,40.66614,-73.82326
2020-12-10,11369,40.77035,-73.87084
2020-12-14,10029,40.792347,-73.95253
2020-12-30,11206,40.694027,-73.934875
2020-12-14,NA,40.802444,-73.938835
2020-12-21,10454,40.80776,-73.91765
2020-12-23,11223,40.60905,-73.9709
2020-12-18,NA,40.675793,-73.94438
2020-12-16,NA,40.840927,-73.912704
2020-12-18,10461,40.84706,-73.84908
2020-12-27,NA,40.651325,-73.93906
2020-12-20,NA,40.73594,-73.85887
2020-12-20,10462,40.83442,-73.86297
2020-12-13,10465,40.820156,-73.81901
2020-12-18,10001,40.748093,-73.993454
2020-12-16,11212,40.66932,-73.91312
2020-12-25,NA,40.82364,-73.87994
2020-12-31,10075,40.77364,-73.95986
2020-12-22,11413,40.67759,-73.74479
2020-12-16,10001,40.753544,-73.99877
2020-12-27,11436,40.686302,-73.793915
2020-12-12,10459,40.826515,-73.893875
2020-12-17,11436,40.683594,-73.80345
2020-12-31,11102,40.771133,-73.92683
2020-12-17,11101,40.75508,-73.93876
2020-12-21,10460,40.838303,-73.887184
2020-12-15,NA,40.584282,-73.917854
2020-12-21,NA,40.813255,-73.93028
2020-12-17,10467,40.871536,-73.877235
2020-12-16,NA,40.693874,-73.91777
2020-12-10,NA,40.826298,-73.85742
2020-12-28,10473,40.822945,-73.85128
2020-12-24,10466,40.884193,-73.85176
2020-12-28,10466,40.88661,-73.86451
2020-12-11,11418,40.702347,-73.83392
2020-12-30,11230,40.62685,-73.97643
2020-12-31,11207,40.655495,-73.88833
2020-12-14,NA,40.720005,-73.78463
2020-12-18,NA,40.743477,-73.73286
2020-12-16,11213,40.67973,-73.9374
2020-12-12,11354,40.762978,-73.83198
2020-12-28,NA,40.790253,-73.94564
2020-12-25,10023,40.772415,-73.97874
2020-12-12,NA,40.82664,-73.94306
2020-12-17,11422,40.668186,-73.74111
2020-12-23,10309,40.537617,-74.23274
2020-12-22,11236,40.635406,-73.88507
2020-12-27,10035,40.8032,-73.934616
2020-12-10,11234,40.614456,-73.9154
2020-12-19,NA,40.640034,-73.877945
2020-12-10,11236,40.634228,-73.915276
2020-12-15,11367,40.74307,-73.834526
2020-12-13,11356,40.786285,-73.83634
2020-12-13,11222,40.732613,-73.95804
2020-12-26,11412,40.698208,-73.752884
2020-12-13,10029,40.792927,-73.94791
2020-12-13,10470,40.90225,-73.868065
2020-12-30,10466,40.88661,-73.86451
2020-12-11,10304,40.606953,-74.08226
2020-12-26,11206,40.708454,-73.939186
2020-12-23,10031,40.8188,-73.95603
2020-12-28,NA,40.63667,-74.02567
2020-12-11,NA,40.78076,-73.825424
2020-12-11,NA,40.68064,-73.89672
2020-12-31,11210,40.621857,-73.93823
2020-12-13,10469,40.873222,-73.83747
2020-12-09,11226,40.651695,-73.94968
2020-12-18,NA,40.584625,-73.94713
2020-12-27,11375,40.713146,-73.84654
2020-12-23,11207,40.658577,-73.89063
2020-12-28,NA,40.666122,-73.93139
2020-12-26,NA,40.724686,-73.77241
2020-12-31,11201,40.695015,-73.98876
2020-12-09,11205,40.689293,-73.95636
2020-12-09,NA,40.693905,-73.94892
2020-12-12,NA,40.789467,-73.784225
2020-12-27,10467,40.883575,-73.86281
